"Polygenic Score (PGS) ID","Reported Trait","Mapped Trait(s) (EFO label)","Mapped Trait(s) (EFO ID)","PGS Publication (PGP) ID"
"PGS003835","Height","body height","EFO_0004339","PGP000489"
"PGS003836","Height","body height","EFO_0004339","PGP000489"
"PGS003837","Height","body height","EFO_0004339","PGP000489"
"PGS003838","Height","body height","EFO_0004339","PGP000489"
"PGS003839","Height","body height","EFO_0004339","PGP000489"
"PGS003840","Height","body height","EFO_0004339","PGP000489"
"PGS003841","Height","body height","EFO_0004339","PGP000489"
"PGS003842","Body mass index (BMI)","body mass index","EFO_0004340","PGP000489"
"PGS003843","Body mass index (BMI)","body mass index","EFO_0004340","PGP000489"
"PGS003844","Body mass index (BMI)","body mass index","EFO_0004340","PGP000489"
"PGS003845","Body mass index (BMI)","body mass index","EFO_0004340","PGP000489"
"PGS003846","Body mass index (BMI)","body mass index","EFO_0004340","PGP000489"
"PGS003847","Body mass index (BMI)","body mass index","EFO_0004340","PGP000489"
"PGS003848","Body mass index (BMI)","body mass index","EFO_0004340","PGP000489"
"PGS003970","Systolic blood pressure","systolic blood pressure","EFO_0006335","PGP000512"
"PGS003971","Systolic blood pressure","systolic blood pressure","EFO_0006335","PGP000512"
"PGS004682","Height","body height","EFO_0004339","PGP000595"
"PGS004683","Height","body height","EFO_0004339","PGP000595"
"PGS004684","Height","body height","EFO_0004339","PGP000595"
"PGS004685","Height","body height","EFO_0004339","PGP000595"
"PGS004686","Height","body height","EFO_0004339","PGP000595"
"PGS004701","HbA1c","HbA1c measurement","EFO_0004541","PGP000604"
"PGS004702","HbA1c","HbA1c measurement","EFO_0004541","PGP000604"
"PGS004703","HbA1c","HbA1c measurement","EFO_0004541","PGP000604"
"PGS004704","HbA1c","HbA1c measurement","EFO_0004541","PGP000604"
"PGS004705","Atrial Fibrillation","atrial fibrillation","EFO_0000275","PGP000604"
"PGS004706","Atrial Fibrillation","atrial fibrillation","EFO_0000275","PGP000604"
"PGS004707","Albumin","serum albumin measurement","EFO_0004535","PGP000604"
"PGS004708","Albumin","serum albumin measurement","EFO_0004535","PGP000604"
"PGS004709","Albumin","serum albumin measurement","EFO_0004535","PGP000604"
"PGS004710","Albumin","serum albumin measurement","EFO_0004535","PGP000604"
"PGS004711","Alkaline phosphatase","alkaline phosphatase measurement","EFO_0004533","PGP000604"
"PGS004712","Alkaline phosphatase","alkaline phosphatase measurement","EFO_0004533","PGP000604"
"PGS004713","Alkaline phosphatase","alkaline phosphatase measurement","EFO_0004533","PGP000604"
"PGS004714","Alkaline phosphatase","alkaline phosphatase measurement","EFO_0004533","PGP000604"
"PGS004715","Alanine aminotransferase","serum alanine aminotransferase measurement","EFO_0004735","PGP000604"
"PGS004716","Alanine aminotransferase","serum alanine aminotransferase measurement","EFO_0004735","PGP000604"
"PGS004717","Alanine aminotransferase","serum alanine aminotransferase measurement","EFO_0004735","PGP000604"
"PGS004718","Alanine aminotransferase","serum alanine aminotransferase measurement","EFO_0004735","PGP000604"
"PGS004719","Aspartate aminotransferase level","aspartate aminotransferase measurement","EFO_0004736","PGP000604"
"PGS004720","Aspartate aminotransferase level","aspartate aminotransferase measurement","EFO_0004736","PGP000604"
"PGS004721","Aspartate aminotransferase level","aspartate aminotransferase measurement","EFO_0004736","PGP000604"
"PGS004722","Aspartate aminotransferase level","aspartate aminotransferase measurement","EFO_0004736","PGP000604"
"PGS004723","Asthma","asthma","MONDO_0004979","PGP000604"
"PGS004724","Asthma","asthma","MONDO_0004979","PGP000604"
"PGS004725","Asthma","asthma","MONDO_0004979","PGP000604"
"PGS004726","Asthma","asthma","MONDO_0004979","PGP000604"
"PGS004727","Basophil count","basophil count","EFO_0005090","PGP000604"
"PGS004728","Basophil count","basophil count","EFO_0005090","PGP000604"
"PGS004729","Basophil count","basophil count","EFO_0005090","PGP000604"
"PGS004730","Basophil count","basophil count","EFO_0005090","PGP000604"
"PGS004731","Total bilirubin","bilirubin measurement","EFO_0004570","PGP000604"
"PGS004732","Total bilirubin","bilirubin measurement","EFO_0004570","PGP000604"
"PGS004733","Body mass index (BMI)","body mass index","EFO_0004340","PGP000604"
"PGS004734","Body mass index (BMI)","body mass index","EFO_0004340","PGP000604"
"PGS004735","Body mass index (BMI)","body mass index","EFO_0004340","PGP000604"
"PGS004736","Body mass index (BMI)","body mass index","EFO_0004340","PGP000604"
